price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,house_age,renovated_bool,log_price,log_sqft_living,log_sqft_above,log_sqft_basement,log_sqft_lot,log_sqft_lot15,log_sqft_living15,living_lot_ratio,sale_month,grade_level,condition_level,house_age_c,house_age_c_sq
221900.0,3,1.0,1180,5650.0,1.0,0,0,3,7,1180,0,1340,5650,59,0,12.31,7.0741,7.0741,0.0,8.6396,8.6396,7.2012,0.209,10,Mid,Average,15.68,245.86
538000.0,3,2.25,2570,7242.0,2.0,0,0,3,7,2170,400,1690,7639,63,1,13.1956,7.8521,7.6829,5.994,8.8878,8.9412,7.4331,0.355,12,Mid,Average,19.68,387.3
180000.0,2,1.0,770,10000.0,1.0,0,0,3,6,770,0,2720,8062,82,0,12.1007,6.6477,6.6477,0.0,9.2104,8.995,7.9088,0.077,2,Low,Average,38.68,1496.14
604000.0,4,3.0,1960,5000.0,1.0,0,0,5,7,1050,910,1360,5000,49,0,13.3113,7.5812,6.9575,6.8145,8.5174,8.5174,7.216,0.392,12,Mid,Good,5.68,32.26
510000.0,3,2.0,1680,8080.0,1.0,0,0,3,8,1680,0,1800,7503,28,0,13.1422,7.4271,7.4271,0.0,8.9973,8.9232,7.4961,0.208,2,Mid,Average,-15.32,234.7
1225000.0,4,4.5,5420,101930.0,1.0,0,0,3,11,3890,1530,4760,101930,13,0,14.0185,8.598,8.2664,7.3337,11.5321,11.5321,8.4682,0.053,5,High,Average,-30.32,919.3
257500.0,3,2.25,1715,6819.0,2.0,0,0,3,7,1715,0,2238,6819,19,0,12.4588,7.4478,7.4478,0.0,8.8276,8.8276,7.7138,0.252,6,Mid,Average,-24.32,591.46
291850.0,3,1.5,1060,9711.0,1.0,0,0,3,7,1060,0,1650,9711,52,0,12.584,6.967,6.967,0.0,9.1811,9.1811,7.4091,0.109,1,Mid,Average,8.68,75.34
229500.0,3,1.0,1780,7470.0,1.0,0,0,3,7,1050,730,1780,8113,55,0,12.3437,7.4849,6.9575,6.5944,8.9188,9.0013,7.4849,0.238,4,Mid,Average,11.68,136.42
323000.0,3,2.5,1890,6560.0,2.0,0,0,3,7,1890,0,2390,7570,12,0,12.6854,7.5449,7.5449,0.0,8.7889,8.9321,7.7795,0.288,3,Mid,Average,-31.32,980.94
662500.0,3,2.5,3560,9796.0,1.0,0,0,3,8,1860,1700,2210,8925,50,0,13.4038,8.1778,7.5289,7.439,9.1898,9.0967,7.7012,0.363,4,Mid,Average,6.68,44.62
468000.0,2,1.0,1160,6000.0,1.0,0,0,4,7,860,300,1330,6000,72,0,13.0562,7.057,6.7581,5.7071,8.6997,8.6997,7.1937,0.193,5,Mid,Good,28.68,822.54
310000.0,3,1.0,1430,19901.0,1.5,0,0,4,7,1430,0,1780,12697,87,0,12.6443,7.2661,7.2661,0.0,9.8986,9.4492,7.4849,0.072,5,Mid,Good,43.68,1907.94
400000.0,3,1.75,1370,9680.0,1.0,0,0,4,7,1370,0,1370,10208,37,0,12.8992,7.2233,7.2233,0.0,9.1779,9.231,7.2233,0.142,10,Mid,Good,-6.32,39.94
530000.0,5,2.0,1810,4850.0,1.5,0,0,3,7,1810,0,1360,4850,115,0,13.1806,7.5016,7.5016,0.0,8.4869,8.4869,7.216,0.373,3,Mid,Average,71.68,5138.02
650000.0,4,3.0,2950,5000.0,2.0,0,3,3,9,1980,970,2140,4000,36,0,13.3847,7.9899,7.5914,6.8783,8.5174,8.2943,7.669,0.59,1,Mid,Average,-7.32,53.58
395000.0,3,2.0,1890,14040.0,2.0,0,0,3,7,1890,0,1890,14018,20,0,12.8866,7.5449,7.5449,0.0,9.5497,9.5482,7.5449,0.135,7,Mid,Average,-23.32,543.82
485000.0,4,1.0,1600,4300.0,1.5,0,0,4,7,1600,0,1610,4300,98,0,13.0919,7.3784,7.3784,0.0,8.3666,8.3666,7.3846,0.372,5,Mid,Good,54.68,2989.9
189000.0,2,1.0,1200,9850.0,1.0,0,0,4,7,1200,0,1060,5095,93,0,12.1495,7.0909,7.0909,0.0,9.1953,8.5362,6.967,0.122,12,Mid,Good,49.68,2468.1
