price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,house_age,renovated_bool,log_price,log_sqft_living,log_sqft_above,log_sqft_basement,log_sqft_lot,log_sqft_lot15,living_lot_ratio,sale_month,grade_level,condition_level,house_age_c,house_age_c_sq
221900.0,3,1.0,1180,5650.0,1.0,0,0,3,7,1180,0,1340,5650,59,0,12.31,7.0741,7.0741,0.0,8.6396,8.6396,0.209,10,Mid,Average,15.681626798685976,245.91341905326615
538000.0,3,2.25,2570,7242.0,2.0,0,0,3,7,2170,400,1690,7639,63,1,13.1956,7.8521,7.6829,5.994,8.8878,8.9412,0.355,12,Mid,Average,19.681626798685976,387.366433442754
180000.0,2,1.0,770,10000.0,1.0,0,0,3,6,770,0,2720,8062,82,0,12.1007,6.6477,6.6477,0.0,9.2104,8.995,0.077,2,Low,Average,38.681626798685976,1496.268251792821
604000.0,4,3.0,1960,5000.0,1.0,0,0,5,7,1050,910,1360,5000,49,0,13.3113,7.5812,6.9575,6.8145,8.5174,8.5174,0.392,12,Mid,Good,5.681626798685976,32.28088307954665
510000.0,3,2.0,1680,8080.0,1.0,0,0,3,8,1680,0,1800,7503,28,0,13.1422,7.4271,7.4271,0.0,8.9973,8.9232,0.208,2,Mid,Average,-15.318373201314024,234.65255753473568
1225000.0,4,4.5,5420,101930.0,1.0,0,0,3,11,3890,1530,4760,101930,13,0,14.0185,8.598,8.2664,7.3337,11.5321,11.5321,0.053,5,High,Average,-30.318373201314024,919.2037535741564
257500.0,3,2.25,1715,6819.0,2.0,0,0,3,7,1715,0,2238,6819,19,0,12.4588,7.4478,7.4478,0.0,8.8276,8.8276,0.252,6,Mid,Average,-24.318373201314024,591.3832751583881
291850.0,3,1.5,1060,9711.0,1.0,0,0,3,7,1060,0,1650,9711,52,0,12.584,6.967,6.967,0.0,9.1811,9.1811,0.109,1,Mid,Average,8.681626798685976,75.37064387166251
229500.0,3,1.0,1780,7470.0,1.0,0,0,3,7,1050,730,1780,8113,55,0,12.3437,7.4849,6.9575,6.5944,8.9188,9.0013,0.238,4,Mid,Average,11.681626798685976,136.46040466377835
323000.0,3,2.5,1890,6560.0,2.0,0,0,3,7,1890,0,2390,7570,12,0,12.6854,7.5449,7.5449,0.0,8.7889,8.9321,0.288,3,Mid,Average,-31.318373201314024,980.8404999767845
662500.0,3,2.5,3560,9796.0,1.0,0,0,3,8,1860,1700,2210,8925,50,0,13.4038,8.1778,7.5289,7.439,9.1898,9.0967,0.363,4,Mid,Average,6.681626798685976,44.6441366769186
468000.0,2,1.0,1160,6000.0,1.0,0,0,4,7,860,300,1330,6000,72,0,13.0562,7.057,6.7581,5.7071,8.6997,8.6997,0.193,5,Mid,Good,28.681626798685976,822.6357158191015
310000.0,3,1.0,1430,19901.0,1.5,0,0,4,7,1430,0,1780,12697,87,0,12.6443,7.2661,7.2661,0.0,9.8986,9.4492,0.072,5,Mid,Good,43.681626798685976,1908.0845197796807
400000.0,3,1.75,1370,9680.0,1.0,0,0,4,7,1370,0,1370,10208,37,0,12.8992,7.2233,7.2233,0.0,9.1779,9.231,0.142,10,Mid,Good,-6.318373201314024,39.92183991108323
530000.0,5,2.0,1810,4850.0,1.5,0,0,3,7,1810,0,1360,4850,115,0,13.1806,7.5016,7.5016,0.0,8.4869,8.4869,0.373,3,Mid,Average,71.68162679868598,5138.255620506096
650000.0,4,3.0,2950,5000.0,2.0,0,3,3,9,1980,970,2140,4000,36,0,13.3847,7.9899,7.5914,6.8783,8.5174,8.2943,0.59,1,Mid,Average,-7.318373201314024,53.55858631371128
395000.0,3,2.0,1890,14040.0,2.0,0,0,3,7,1890,0,1890,14018,20,0,12.8866,7.5449,7.5449,0.0,9.5497,9.5482,0.135,7,Mid,Average,-23.318373201314024,543.7465287557601
485000.0,4,1.0,1600,4300.0,1.5,0,0,4,7,1600,0,1610,4300,98,0,13.0919,7.3784,7.3784,0.0,8.3666,8.3666,0.372,5,Mid,Good,54.681626798685976,2990.080309350772
189000.0,2,1.0,1200,9850.0,1.0,0,0,4,7,1200,0,1060,5095,93,0,12.1495,7.0909,7.0909,0.0,9.1953,8.5362,0.122,12,Mid,Good,49.681626798685976,2468.2640413639124
230000.0,3,1.0,1250,9774.0,1.0,0,0,4,7,1250,0,1280,8850,46,0,12.3458,7.1317,7.1317,0.0,9.1876,9.0883,0.128,4,Mid,Good,2.6816267986859756,7.191122287430794
385000.0,4,1.75,1620,4980.0,1.0,0,0,4,7,860,760,1400,4980,67,0,12.861,7.3908,6.7581,6.6346,8.5134,8.5134,0.325,5,Mid,Good,23.681626798685976,560.8194478322417
2000000.0,3,2.75,3050,44867.0,1.0,0,4,3,9,2330,720,4110,20336,46,0,14.5087,8.0232,7.7541,6.5806,10.7115,9.9202,0.068,8,Mid,Average,2.6816267986859756,7.191122287430794
285000.0,5,2.5,2270,6300.0,2.0,0,0,3,8,2270,0,2240,7005,19,0,12.5602,7.728,7.728,0.0,8.7485,8.8545,0.36,7,Mid,Average,-24.318373201314024,591.3832751583881
252700.0,2,1.5,1070,7601.5,1.0,0,0,3,7,1070,0,1220,8386,29,0,12.44,6.9763,6.9763,0.0,8.9362,9.0344,0.141,5,Mid,Average,-14.318373201314024,205.01581113210761
329000.0,3,2.75,2450,6500.0,2.0,0,0,4,8,2450,0,2200,6865,29,0,12.7038,7.8043,7.8043,0.0,8.7797,8.8343,0.377,11,Mid,Good,-14.318373201314024,205.01581113210761
233000.0,3,2.0,1710,4697.0,1.5,0,0,5,6,1710,0,1030,4705,73,0,12.3588,7.4448,7.4448,0.0,8.4549,8.4566,0.364,11,Low,Good,29.681626798685976,880.9989694164735
937000.0,3,2.75,2450,2691.0,2.0,0,0,3,8,1750,700,1760,3573,99,0,13.7504,7.8043,7.4679,6.5525,7.898,8.1814,0.91,6,Mid,Average,55.681626798685976,3100.443562948144
