price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,sqft_living15,sqft_lot15,house_age,renovated_bool,log_price,log_sqft_living,log_sqft_above,log_sqft_lot,log_sqft_lot15,living_lot_ratio,sale_month,grade_level,condition_level
221900.0,3,1.0,1180,5650.0,1.0,0,0,3,7,1180,0,1340,5650,59,0,12.31,7.0733,7.0733,8.6394,8.6394,0.209,10,Mid,Average
538000.0,3,2.25,2570,7242.0,2.0,0,0,3,7,2170,400,1690,7639,63,1,13.1956,7.8517,7.6825,8.8877,8.941,0.355,12,Mid,Average
180000.0,2,1.0,770,10000.0,1.0,0,0,3,6,770,0,2720,8062,82,0,12.1007,6.6464,6.6464,9.2103,8.9949,0.077,2,Low,Average
604000.0,4,3.0,1960,5000.0,1.0,0,0,5,7,1050,910,1360,5000,49,0,13.3113,7.5807,6.9565,8.5172,8.5172,0.392,12,Mid,Good
510000.0,3,2.0,1680,8080.0,1.0,0,0,3,8,1680,0,1800,7503,28,0,13.1422,7.4265,7.4265,8.9971,8.9231,0.208,2,Mid,Average
1225000.0,4,4.5,5420,101930.0,1.0,0,0,3,11,3890,1530,4760,101930,13,0,14.0185,8.5979,8.2662,11.532,11.532,0.053,5,High,Average
257500.0,3,2.25,1715,6819.0,2.0,0,0,3,7,1715,0,2238,6819,19,0,12.4588,7.4472,7.4472,8.8275,8.8275,0.252,6,Mid,Average
291850.0,3,1.5,1060,9711.0,1.0,0,0,3,7,1060,0,1650,9711,52,0,12.584,6.966,6.966,9.181,9.181,0.109,1,Mid,Average
229500.0,3,1.0,1780,7470.0,1.0,0,0,3,7,1050,730,1780,8113,55,0,12.3437,7.4844,6.9565,8.9187,9.0012,0.238,4,Mid,Average
323000.0,3,2.5,1890,6560.0,2.0,0,0,3,7,1890,0,2390,7570,12,0,12.6854,7.5443,7.5443,8.7887,8.9319,0.288,3,Mid,Average
662500.0,3,2.5,3560,9796.0,1.0,0,0,3,8,1860,1700,2210,8925,50,0,13.4038,8.1775,7.5283,9.1897,9.0966,0.363,4,Mid,Average
468000.0,2,1.0,1160,6000.0,1.0,0,0,4,7,860,300,1330,6000,72,0,13.0562,7.0562,6.7569,8.6995,8.6995,0.193,5,Mid,Good
310000.0,3,1.0,1430,19901.0,1.5,0,0,4,7,1430,0,1780,12697,87,0,12.6443,7.2654,7.2654,9.8985,9.4491,0.072,5,Mid,Good
400000.0,3,1.75,1370,9680.0,1.0,0,0,4,7,1370,0,1370,10208,37,0,12.8992,7.2226,7.2226,9.1778,9.2309,0.142,10,Mid,Good
530000.0,5,2.0,1810,4850.0,1.5,0,0,3,7,1810,0,1360,4850,115,0,13.1806,7.5011,7.5011,8.4867,8.4867,0.373,3,Mid,Average
650000.0,4,3.0,2950,5000.0,2.0,0,3,3,9,1980,970,2140,4000,36,0,13.3847,7.9896,7.5909,8.5172,8.294,0.59,1,Mid,Average
395000.0,3,2.0,1890,14040.0,2.0,0,0,3,7,1890,0,1890,14018,20,0,12.8866,7.5443,7.5443,9.5497,9.5481,0.135,7,Mid,Average
485000.0,4,1.0,1600,4300.0,1.5,0,0,4,7,1600,0,1610,4300,98,0,13.0919,7.3778,7.3778,8.3664,8.3664,0.372,5,Mid,Good
189000.0,2,1.0,1200,9850.0,1.0,0,0,4,7,1200,0,1060,5095,93,0,12.1495,7.0901,7.0901,9.1952,8.536,0.122,12,Mid,Good
230000.0,3,1.0,1250,9774.0,1.0,0,0,4,7,1250,0,1280,8850,46,0,12.3458,7.1309,7.1309,9.1875,9.0882,0.128,4,Mid,Good
385000.0,4,1.75,1620,4980.0,1.0,0,0,4,7,860,760,1400,4980,67,0,12.861,7.3902,6.7569,8.5132,8.5132,0.325,5,Mid,Good
285000.0,5,2.5,2270,6300.0,2.0,0,0,3,8,2270,0,2240,7005,19,0,12.5602,7.7275,7.7275,8.7483,8.8544,0.36,7,Mid,Average
252700.0,2,1.5,1070,7601.5,1.0,0,0,3,7,1070,0,1220,8386,29,0,12.44,6.9754,6.9754,8.9361,9.0343,0.141,5,Mid,Average
329000.0,3,2.75,2450,6500.0,2.0,0,0,4,8,2450,0,2200,6865,29,0,12.7038,7.8038,7.8038,8.7796,8.8342,0.377,11,Mid,Good
233000.0,3,2.0,1710,4697.0,1.5,0,0,5,6,1710,0,1030,4705,73,0,12.3588,7.4442,7.4442,8.4547,8.4564,0.364,11,Low,Good
937000.0,3,2.75,2450,2691.0,2.0,0,0,3,8,1750,700,1760,3573,99,0,13.7504,7.8038,7.4674,7.8977,8.1812,0.91,6,Mid,Average
667000.0,3,1.0,1400,1581.0,1.5,0,0,5,8,1400,0,1860,3861,105,0,13.4105,7.2442,7.2442,7.3658,8.2587,0.886,12,Mid,Good
438000.0,3,1.75,1520,6380.0,1.0,0,0,3,7,790,730,1520,6235,66,0,12.99,7.3265,6.672,8.7609,8.7379,0.238,6,Mid,Average
719000.0,4,2.5,2570,7173.0,2.0,0,0,3,8,2570,0,2630,6026,10,0,13.4856,7.8517,7.8517,8.8781,8.7038,0.358,3,Mid,Average
580500.0,3,2.5,2320,3980.0,2.0,0,0,3,8,2320,0,2580,3980,11,0,13.2716,7.7493,7.7493,8.289,8.289,0.583,11,Mid,Average
280000.0,2,1.5,1190,1265.0,3.0,0,0,3,7,1190,0,1390,1756,9,0,12.5425,7.0817,7.0817,7.1428,7.4708,0.941,12,Mid,Average
687500.0,5,1.75,2330,5000.0,1.5,0,0,4,7,1510,820,1460,5000,85,0,13.4408,7.7536,7.3199,8.5172,8.5172,0.466,6,Mid,Good
535000.0,3,1.0,1090,3000.0,1.5,0,0,4,8,1090,0,1570,5080,85,0,13.19,6.9939,6.9939,8.0064,8.5331,0.363,11,Mid,Good
322500.0,4,2.75,2060,6659.0,1.0,0,0,3,7,1280,780,2020,8720,33,0,12.6839,7.6305,7.1546,8.8037,9.0734,0.309,12,Mid,Average
696000.0,3,2.5,2300,3060.0,1.5,0,0,3,8,1510,790,1590,3264,84,1,13.4531,7.7407,7.3199,8.0262,8.0907,0.752,6,Mid,Average
550000.0,4,1.0,1660,34848.0,1.0,0,0,1,5,930,730,2160,11467,81,0,13.2177,7.4146,6.8352,10.4588,9.3472,0.048,5,Low,Poor
640000.0,4,2.0,2360,6000.0,2.0,0,0,4,8,2360,0,1730,4700,110,0,13.3692,7.7664,7.7664,8.6995,8.4553,0.393,12,Mid,Good
240000.0,4,1.0,1220,8075.0,1.0,0,0,2,7,890,330,1290,7800,46,0,12.3884,7.1066,6.7912,8.9965,8.9619,0.151,2,Mid,Poor
605000.0,4,2.5,2620,7553.0,2.0,0,0,3,8,2620,0,2620,11884,18,0,13.313,7.8709,7.8709,8.9297,9.3829,0.347,6,Mid,Average
625000.0,4,2.5,2570,5520.0,2.0,0,0,3,9,2570,0,2470,5669,14,0,13.3455,7.8517,7.8517,8.6161,8.6428,0.466,7,Mid,Average
775000.0,4,2.25,4220,24186.0,1.0,0,0,3,8,2600,1620,2410,30617,30,0,13.5606,8.3476,7.8633,10.0935,10.3293,0.174,8,Mid,Average
861990.0,5,2.75,3595,5639.0,2.0,0,0,3,9,3595,0,3625,5639,0,0,13.667,8.1873,8.1873,8.6375,8.6375,0.638,7,Mid,Average
685000.0,3,1.0,1570,2280.0,2.0,0,0,3,7,1570,0,1580,2640,92,0,13.4372,7.3588,7.3588,7.7319,7.8785,0.689,10,Mid,Average
309000.0,3,1.0,1280,9656.0,1.0,0,0,4,6,920,360,1340,8808,55,0,12.6411,7.1546,6.8244,9.1753,9.0834,0.133,7,Low,Good
488000.0,3,2.5,3160,13603.0,2.0,0,0,3,8,3160,0,3050,9232,11,0,13.0981,8.0583,8.0583,9.518,9.1304,0.232,7,Mid,Average
210490.0,2,1.0,990,8528.0,1.0,0,0,3,6,990,0,1228,8840,49,0,12.2572,6.8977,6.8977,9.0511,9.087,0.116,3,Low,Average
